chinese_imperial_government;Chinese Imperial;Impérialisme chinois;Chinesischer Imperialismus;;Imperial chino;;;;;;;;;x
chinese_imperial_government_desc;Chinese Imperialism, much like the ordinary Feudal government, revolves around vassals owing fealty to their liege. It is inspired by the efficient administration of the mainland [offmap_china.GetFullName], and promotes peaceful dialog over religious differences.;L'impérialisme chinois, tout comme le gouvernement féodal ordinaire, repose sur les vassaux jurant fidélité à leur seigneur lige. Il s'inspire de l'administration efficace de l'[offmap_china.GetFullName] et promeut un dialogue pacifique sur les différences religieuses.;Der chinesische Imperialismus ist ähnlich der Feudalregierung und dreht sich um Vasallen, die ihrem Lehnsherrn folgen. Er ist inspiriert von der effizienten Verwaltung des Kernlandes vom [offmap_china.GetFullName] und fördert einen friedlichen Dialog über religiöse Unterschiede.;;El imperialismo chino, muy similar al gobierno feudal normal, gira en torno a vasallos que juran lealtad un señor. Está inspirado por la administración eficiente del corazón de [offmap_china.GetFullName] y promueve el diálogo pacífico por encima de las diferencias religiosas.;;;;;;;;;x
chinese_imperial_government_FEATURES;§Y*§! Follows the special Temple Name convention of naming rulers\n§Y*§! Is limited to non-elective succession laws;§Y*§! Suit la convention spéciale des noms de temples pour nommer les dirigeants\n§Y*§! Uniquement les lois de succession non élective;§Y*§! Folgt der speziellen Namenskonvention durch Tempel für Herrscher\n§Y*§! Ist begrenzt auf Erbfolgegesetze ohne Wahl;;§Y*§! Sigue la convención especial de [Root.GetPublicOpinionOfWork]s de templo para dar nombre a los gobernantes\n§Y*§! Está limitado a leyes de sucesión no electivas;;;;;;;;;x
confucian_bureaucracy;Confucian Bureaucracy;Bureaucratie confucéenne;Konfuzianische Bürokratie;;Burocracia confuciana;;;;;;;;;x
confucian_bureaucracy_desc;Confucian Bureaucracies rely on a set of strict imperial examinations to select their rulers. Candidates are tested on their knowledge of the Confucian Classics - though merit, previous achievements and recommendations from prominent aristocrats also play a major role in the selection process. Rulers tend to be very skilled stewards.;Les bureaucraties confucéennes s'appuient sur des examens impériaux stricts pour sélectionner leurs dirigeants. Les candidats sont testés sur leurs connaissances des Classiques confucéens - en dehors du mérite, les accomplissements précédents et les recommandations d'aristocrates en vue jouent aussi un rôle majeur dans le processus de sélection. Les dirigeants ont tendance à être des intendants très compétents.;Konfuzianische Bürokraten verlassen sich auf eine Reihe von strengen kaiserlichen Prüfungen, um ihre Herrscher auszuwählen. Die Kandidaten werden auf ihre Kenntnisse der konfuzianischen Klassiker getestet, wobei Verdienst, frühere Errungenschaften und Empfehlungen von prominenten Aristokraten auch eine wichtige Rolle bei der Auswahl spielen. Herrscher neigen dazu, sehr erfahrene Kämmerer zu sein.;;Las burocracias confucianas recurren a una serie de rigurosos exámenes imperiales para elegir a sus gobernantes. Los candidatos prueban su conocimiento de los clásicos confucianos. Aunque méritos, logros previos y recomendaciones de aristócratas destacados también desempeñan un papel importante en el proceso de selección. Los gobernantes suelen ser administradores hábiles.;;;;;;;;;x
feudal_government;Feudal;Féodalité;Feudalsystem;;Feudal;;;;;;;;;x
feudal_government_desc;Feudal government revolves around the oath between liege and vassal, and Feudal lords can only directly own so many Holdings before they must start to rely on vassals - whose loyalty may vary... There are several Succession Laws to pick between - each with its own merits. The Centralization Law controls the maximum size of your Demesne and the number of direct vassals you can have. If you should convert to a religion in the [muslim.GetGroupName] group, your government form will change to Iqta.;Un gouvernement féodal repose sur un serment entre un seigneur et son vassal, et les seigneurs féodaux ne peuvent posséder directement qu'un nombre limité de propriétés avant de devoir s'appuyer sur des vassaux – dont la loyauté peut laisser à désirer... Vous pouvez choisir une loi de succession, chacune ayant ses propres mérites. La loi de centralisation contrôle la taille maximale de votre domaine et le nombre de vassaux directs que vous pouvez avoir. Si vous vous convertissez à une religion du groupe [muslim.GetGroupName], votre gouvernement se changera en iqtâ.;Im Zentrum einer Feudalregierung steht der Eid zwischen Lehnsherr und Vasall, wobei ein feudaler Fürst nur eine begrenze Anzahl an Besitztümern direkt halten kann, bevor er sich auf seine Vasallen verlassen muss, dessen Loyalität variiert... Für die Erbfolge stehen verschiedene Gesetze zur Wahl, von denen jedes seine Vorzüge hat. In den Zentralisierungsgesetzen ist die maximale Größe der Domäne und die mögliche Anzahl der direkten Vasallen festgelegt. Wenn Ihr zu einer Religion der [muslim.GetGroupName]en Religionsgruppe konvertieren solltet, wird Eure Regierungsform zur Iqta geändert.;;El gobierno feudal gira alrededor del juramento entre señor y vasallo, y los señores feudales solo pueden poseer directamente un cierto número de posesiones antes de empezar a confiar en sus vasallos - cuya lealtad puede variar… Hay varias leyes de sucesión para elegir, cada una con sus propios méritos. La ley de centralización controla el tamaño máximo de tu domino y el número de vasallos directos que puedes tener. Si te conviertes a una religión del grupo [muslim.GetGroupName], tu forma del gobierno cambiará a Iqta.;;;;;;;;;x
merchant_republic_government;Merchant Republic;République marchande;Handelsrepublik;;República mercante;;;;;;;;;x
merchant_republic_government_desc;Playing as a Patrician within a Merchant Republic is not entirely dissimilar from playing a Feudal lord - you are still after more Holdings, and you need an heir of your family. However, leadership of the Republic changes between the five major Patrician families through special elections. Patricians can also build a network of Trade Posts, even in the counties of other powers...;Jouer un patricien au sein d'une république marchande est semblable à l'expérience qu'offre un seigneur féodal : vous cherchez toujours à posséder davantage de propriétés et vous devez avoir un héritier pour votre famille. Cependant, la gouvernance de votre république tourne entre les cinq familles patriciennes majeures par le biais d'élections spéciales. Les patriciens peuvent ainsi construire un réseau de comptoirs, même dans les comtés qui dépendent d'autres régimes...;Als Patrizier einer Handelsrepublik zu spielen, ähnelt dem Spiel als Feudalherrscher. Nach wie vor ist der Erwerb neuer Liegenschaften Euer Ziel und auch für einen Erben müsst Ihr sorgen. Allerdings gibt es innerhalb einer Republik spezielle Wahlen, durch die festgelegt wird, welche der fünf großen Patrizierfamilien die politische Führung der Republik übernimmt. Daneben können Patrizier ein Netzwerk von Handelsposten aufbauen, sogar auf dem Gebiet anderer Mächte ...;;Encarnar a un patricio de una república mercante no es completamente diferente a encarnar a un señor feudal: sigues tratando de hacerte con más propiedades y necesitas un heredero en tu familia. No obstante, el liderazgo de la República cambia entre las cinco familias de patricios principales a través de unas elecciones especiales. Los patricios también pueden establecer una red de puestos comerciales, incluso en países de otras potencias...;;;;;;;;;x
muslim_government;Iqta;Iqtâ;Iqta;;Iqta;;;;;;;;;x
muslim_government_desc;The [arabic.GetGroupName] Iqta system is similar to the Feudal system - rulers must rely on land holding vassals of varying loyalty and ambition. The maximum number of vassals and the number of Holdings you can directly own are controlled by the Centralization Law. However, there is only one form of Succession available - the chaotic 'Open' type, where the son with most land inherits. If you should convert to a non-[muslim.GetGroupName] religion, your government form will change to Feudal.;Le système [arabic.GetGroupName] de l'iqtâ est similaire au système féodal – les souverains doivent faire appel à des vassaux pour tenir leurs propriétés et le degré d'ambition ou de loyauté de ces derniers peut varier. Le nombre maximal de vassaux et le nombre de propriétés que vous pouvez directement posséder sont contrôlés par la loi de centralisation. Cependant, il n'y a qu'une seule forme de succession disponible – la succession « ouverte » chaotique, selon laquelle le fils qui détient le plus de terres est en droit d'hériter. Si vous vous convertissez à une religion non [muslim.GetGroupName], votre type de gouvernement deviendra féodal.;Das [arabic.GetGroupName]e Iqtasystem ähnelt dem Feudalsystem. Auch hier muss der Herrscher auf möglicherweise unzuverlässige Vasallen vertrauen. In den Zentralisierungsgesetzen ist festgelegt, wie viele Besitztümer und wie viele Vasallen Ihr maximal haben könnt. Es gibt allerdings bei der Erbfolge nur eine einzige Variante: das chaotische "Offene" System, bei dem immer der Sohn mit dem größten Landbesitz erbt. Wenn Ihr zu einer nicht [muslim.GetGroupName]en Religionsgruppe konvertieren solltet, wird Eure Regierungsform zur Feudalregierung geändert;;El sistema [arabic.GetGroupName] Iqta es similar al sistema feudal - los gobernantes deben depender de vasallos con posesiones territoriales de variable lealtad y ambición. El número máximo número de vasallos y de posesiones que puedes poseer directamente puedes poseer están controlados por la ley de centralización. Sin embargo, solo existe una forma de sucesión: la caótica 'abierta', donde hereda el hijo con más tierras. Si te conviertes a una religión no [muslim.GetGroupName] tu forma de gobierno cambiará a feudal.;;;;;;;;;x
nogovernment;Landless;Sans terres;Landlos;;Sin tierras;;;;;;;;x
nogovernment_desc;This character does not rule nor live under any government.;Ce personnage ne règne pas et ne vit pas sous un gouvernement.;Dieser Charakter herrscht nicht und lebt unter keiner Regierung.;;Este personaje ni gobierna ni vive bajo gobierno alguno.;;;;;;;;x
nomadic_government;Nomadic;Nomade;Nomadisch;;Nómada;;;;;;;;;x
nomadic_government_desc;Nomads are not very interested in owning Holdings, only in more grazing land for their sheep and horses. Gameplay centers around the Population of the tribe and the Manpower it provides. Empty Holdings slots in open terrain increases the maximum population. While Nomads can have normal vassals, they are mostly concerned with managing the other, few but powerful, major Clans of the tribe.;Les nomades ne s'intéressent guère à la possession de propriétés et préfèrent les pâturages pour leurs moutons et leurs chevaux. Le jeu est centré sur la population totale de la tribu et sur les effectifs dont elle dispose. Les emplacements de fief vides sur du terrain ouvert augmentent la population maximale. Bien que les nomades aient des vassaux normaux, ils s'occupent principalement de gérer les autres clans majeurs de la tribu, qui sont peu nombreux, mais très influents.;Nomaden haben kein Interesse am Besitz von Besitztümern. Stattdessen konzentrieren sie sich auf Weideland für ihre Schafe und Pferde. Wichtig für das Spiel sind hier die Gesamtbevölkerung des Stammes und wie viel Mannstärke verfügbar ist. Leere Bauplätze in den Besitztümern sorgen für eine Zunahme der maximalen Bevölkerung. Auch wenn Nomaden normale Vasallen haben können, beschäftigen sie sich zumeist mit der Kontrolle einzelner Stammesklans, die zwar nicht zahlreich, dafür aber um so mächtiger sind.;;Los nómadas no están muy interesados en poseer posesiones, sólo en más tierras de pastoreo para sus ovejas y caballos. El juego gira en torno a la población total de la tribu y la mano de obra que proporciona. Las ranuras vacías de explotaciones en terreno abierto aumentan la población máxima. Mientras que los nómadas pueden tener vasallos normales, en su mayoría están preocupados con la administración de los otros importantes clanes de la tribu, pocos pero poderosos.;;;;;;;;;x
